product_id,sku,name,category,cost_price_inr,selling_price_inr,reorder_level,vendor_id,is_active,primary_channel
PRD-5001,SKU-TEX-0001,Textiles Premium Craft SKU #1,Textiles & Handblock Prints,2375,6391,37,VND-1117,TRUE,Flipkart
PRD-5002,SKU-PUR-0002,Pure Premium Craft SKU #2,Pure Silk & Traditional Sarees,939,2981,62,VND-1070,TRUE,Flipkart
PRD-5003,SKU-KNI-0003,Knitwear Premium Craft SKU #3,Knitwear & Everyday Apparel,1203,3635,21,VND-1166,TRUE,Amazon IN
PRD-5004,SKU-BRA-0004,Brass Premium Craft SKU #4,Brass & Artisan Metalcraft,941,1974,71,VND-1146,TRUE,Myntra
PRD-5005,SKU-AYU-0005,Ayurvedic Premium Craft SKU #5,Ayurvedic Beauty & Wellness,505,1253,32,VND-1084,TRUE,POS Counter
PRD-5006,SKU-LEA-0006,Leather Premium Craft SKU #6,Leather Footwear & Travel Goods,1475,5001,20,VND-1123,TRUE,POS Counter
PRD-5007,SKU-ECO-0007,Eco-Friendly Premium Craft SKU #7,Eco-Friendly Packaging,1243,4253,58,VND-1115,TRUE,Myntra
PRD-5008,SKU-CON-0008,Consumer Premium Craft SKU #8,Consumer Electronics Accessories,1221,3554,50,VND-1003,TRUE,Shopify Storefront
PRD-5009,SKU-ORG-0009,Organic Premium Craft SKU #9,Organic Home & Kitchenware,1406,2912,84,VND-1120,TRUE,Instagram DM
PRD-5010,SKU-HAN-0010,Handloom Premium Craft SKU #10,Handloom Bed Linen & Curtains,1423,4231,57,VND-1198,TRUE,POS Counter
PRD-5011,SKU-SPI-0011,Spices Premium Craft SKU #11,Spices & Gourmet Food Crafts,697,1821,78,VND-1057,TRUE,Myntra
PRD-5012,SKU-JEW-0012,Jewelry Premium Craft SKU #12,Jewelry & Fashion Accessories,1853,5546,80,VND-1096,TRUE,Instagram DM
PRD-5013,SKU-FOO-0013,Footwear Premium Craft SKU #13,Footwear & Athletic Shoes,1044,3231,96,VND-1212,TRUE,Shopify Storefront
PRD-5014,SKU-STA-0014,Stationery Premium Craft SKU #14,Stationery & Corporate Gifting,1979,5339,66,VND-1135,TRUE,Myntra
PRD-5015,SKU-PET-0015,Pet Premium Craft SKU #15,Pet Care & Organic Treats,402,1289,84,VND-1029,TRUE,Myntra
PRD-5016,SKU-KID-0016,Kids Premium Craft SKU #16,Kids Wear & Wooden Toys,823,1940,86,VND-1039,TRUE,Instagram DM
PRD-5017,SKU-FIT-0017,Fitness Premium Craft SKU #17,Fitness Gear & Yoga Accessories,2152,4206,85,VND-1053,TRUE,Shopify Storefront
PRD-5018,SKU-AUT-0018,Automotive Premium Craft SKU #18,Automotive Accessories,690,1844,78,VND-1117,TRUE,Myntra
PRD-5019,SKU-TEX-0019,Textiles Premium Craft SKU #19,Textiles & Handblock Prints,1412,4277,70,VND-1119,TRUE,Shopify Storefront
PRD-5020,SKU-PUR-0020,Pure Premium Craft SKU #20,Pure Silk & Traditional Sarees,1042,2900,25,VND-1191,TRUE,Instagram DM
PRD-5021,SKU-KNI-0021,Knitwear Premium Craft SKU #21,Knitwear & Everyday Apparel,2366,8257,28,VND-1017,TRUE,Flipkart
PRD-5022,SKU-BRA-0022,Brass Premium Craft SKU #22,Brass & Artisan Metalcraft,1325,3305,37,VND-1009,TRUE,Instagram DM
PRD-5023,SKU-AYU-0023,Ayurvedic Premium Craft SKU #23,Ayurvedic Beauty & Wellness,1871,4558,68,VND-1166,TRUE,Flipkart
PRD-5024,SKU-LEA-0024,Leather Premium Craft SKU #24,Leather Footwear & Travel Goods,478,1415,89,VND-1097,TRUE,Amazon IN
PRD-5025,SKU-ECO-0025,Eco-Friendly Premium Craft SKU #25,Eco-Friendly Packaging,881,3072,70,VND-1031,TRUE,Instagram DM
PRD-5026,SKU-CON-0026,Consumer Premium Craft SKU #26,Consumer Electronics Accessories,164,506,58,VND-1058,TRUE,Instagram DM
PRD-5027,SKU-ORG-0027,Organic Premium Craft SKU #27,Organic Home & Kitchenware,1887,5102,49,VND-1140,TRUE,Amazon IN
PRD-5028,SKU-HAN-0028,Handloom Premium Craft SKU #28,Handloom Bed Linen & Curtains,1279,2712,34,VND-1040,FALSE,Instagram DM
PRD-5029,SKU-SPI-0029,Spices Premium Craft SKU #29,Spices & Gourmet Food Crafts,214,472,28,VND-1108,TRUE,Shopify Storefront
PRD-5030,SKU-JEW-0030,Jewelry Premium Craft SKU #30,Jewelry & Fashion Accessories,349,773,25,VND-1115,TRUE,POS Counter
PRD-5031,SKU-FOO-0031,Footwear Premium Craft SKU #31,Footwear & Athletic Shoes,1039,3202,27,VND-1139,TRUE,Amazon IN
PRD-5032,SKU-STA-0032,Stationery Premium Craft SKU #32,Stationery & Corporate Gifting,1456,4050,61,VND-1060,TRUE,POS Counter
PRD-5033,SKU-PET-0033,Pet Premium Craft SKU #33,Pet Care & Organic Treats,2285,4971,58,VND-1170,TRUE,Myntra
PRD-5034,SKU-KID-0034,Kids Premium Craft SKU #34,Kids Wear & Wooden Toys,867,2483,74,VND-1243,TRUE,Shopify Storefront
PRD-5035,SKU-FIT-0035,Fitness Premium Craft SKU #35,Fitness Gear & Yoga Accessories,1560,5305,68,VND-1249,TRUE,Amazon IN
PRD-5036,SKU-AUT-0036,Automotive Premium Craft SKU #36,Automotive Accessories,1855,4626,58,VND-1179,TRUE,Myntra
PRD-5037,SKU-TEX-0037,Textiles Premium Craft SKU #37,Textiles & Handblock Prints,1137,3688,58,VND-1122,TRUE,POS Counter
PRD-5038,SKU-PUR-0038,Pure Premium Craft SKU #38,Pure Silk & Traditional Sarees,2046,6864,91,VND-1207,TRUE,Flipkart
PRD-5039,SKU-KNI-0039,Knitwear Premium Craft SKU #39,Knitwear & Everyday Apparel,2320,4704,51,VND-1143,TRUE,Amazon IN
PRD-5040,SKU-BRA-0040,Brass Premium Craft SKU #40,Brass & Artisan Metalcraft,473,1592,67,VND-1166,TRUE,Instagram DM
PRD-5041,SKU-AYU-0041,Ayurvedic Premium Craft SKU #41,Ayurvedic Beauty & Wellness,930,1755,68,VND-1213,TRUE,Myntra
PRD-5042,SKU-LEA-0042,Leather Premium Craft SKU #42,Leather Footwear & Travel Goods,448,949,95,VND-1011,TRUE,Myntra
PRD-5043,SKU-ECO-0043,Eco-Friendly Premium Craft SKU #43,Eco-Friendly Packaging,2113,4553,62,VND-1056,TRUE,Shopify Storefront
PRD-5044,SKU-CON-0044,Consumer Premium Craft SKU #44,Consumer Electronics Accessories,928,3188,35,VND-1055,TRUE,Flipkart
PRD-5045,SKU-ORG-0045,Organic Premium Craft SKU #45,Organic Home & Kitchenware,1143,3409,46,VND-1235,TRUE,POS Counter
PRD-5046,SKU-HAN-0046,Handloom Premium Craft SKU #46,Handloom Bed Linen & Curtains,1467,4574,68,VND-1142,TRUE,Instagram DM
PRD-5047,SKU-SPI-0047,Spices Premium Craft SKU #47,Spices & Gourmet Food Crafts,1413,3171,85,VND-1092,TRUE,Flipkart
PRD-5048,SKU-JEW-0048,Jewelry Premium Craft SKU #48,Jewelry & Fashion Accessories,2073,6415,60,VND-1026,TRUE,Amazon IN
PRD-5049,SKU-FOO-0049,Footwear Premium Craft SKU #49,Footwear & Athletic Shoes,1845,3464,48,VND-1081,TRUE,Shopify Storefront
PRD-5050,SKU-STA-0050,Stationery Premium Craft SKU #50,Stationery & Corporate Gifting,2416,8188,94,VND-1067,TRUE,Amazon IN
PRD-5051,SKU-PET-0051,Pet Premium Craft SKU #51,Pet Care & Organic Treats,953,2249,68,VND-1040,TRUE,POS Counter
PRD-5052,SKU-KID-0052,Kids Premium Craft SKU #52,Kids Wear & Wooden Toys,2405,7005,63,VND-1128,TRUE,Flipkart
PRD-5053,SKU-FIT-0053,Fitness Premium Craft SKU #53,Fitness Gear & Yoga Accessories,2159,5577,65,VND-1248,TRUE,Instagram DM
PRD-5054,SKU-AUT-0054,Automotive Premium Craft SKU #54,Automotive Accessories,2150,4542,89,VND-1140,TRUE,Shopify Storefront
PRD-5055,SKU-TEX-0055,Textiles Premium Craft SKU #55,Textiles & Handblock Prints,288,929,29,VND-1135,TRUE,Instagram DM
PRD-5056,SKU-PUR-0056,Pure Premium Craft SKU #56,Pure Silk & Traditional Sarees,176,440,100,VND-1013,TRUE,Instagram DM
PRD-5057,SKU-KNI-0057,Knitwear Premium Craft SKU #57,Knitwear & Everyday Apparel,187,406,78,VND-1039,TRUE,Myntra
PRD-5058,SKU-BRA-0058,Brass Premium Craft SKU #58,Brass & Artisan Metalcraft,2129,6218,22,VND-1164,FALSE,Myntra
PRD-5059,SKU-AYU-0059,Ayurvedic Premium Craft SKU #59,Ayurvedic Beauty & Wellness,198,362,55,VND-1106,TRUE,Amazon IN
PRD-5060,SKU-LEA-0060,Leather Premium Craft SKU #60,Leather Footwear & Travel Goods,2207,7023,75,VND-1005,TRUE,POS Counter
PRD-5061,SKU-ECO-0061,Eco-Friendly Premium Craft SKU #61,Eco-Friendly Packaging,544,1464,50,VND-1028,TRUE,Myntra
PRD-5062,SKU-CON-0062,Consumer Premium Craft SKU #62,Consumer Electronics Accessories,1601,3609,70,VND-1065,TRUE,Flipkart
PRD-5063,SKU-ORG-0063,Organic Premium Craft SKU #63,Organic Home & Kitchenware,2464,5453,48,VND-1118,TRUE,Shopify Storefront
PRD-5064,SKU-HAN-0064,Handloom Premium Craft SKU #64,Handloom Bed Linen & Curtains,279,546,68,VND-1168,TRUE,Flipkart
PRD-5065,SKU-SPI-0065,Spices Premium Craft SKU #65,Spices & Gourmet Food Crafts,188,563,30,VND-1015,TRUE,Flipkart
PRD-5066,SKU-JEW-0066,Jewelry Premium Craft SKU #66,Jewelry & Fashion Accessories,1506,4159,32,VND-1166,TRUE,Shopify Storefront
PRD-5067,SKU-FOO-0067,Footwear Premium Craft SKU #67,Footwear & Athletic Shoes,1015,3382,92,VND-1059,TRUE,Shopify Storefront
PRD-5068,SKU-STA-0068,Stationery Premium Craft SKU #68,Stationery & Corporate Gifting,454,1345,55,VND-1237,TRUE,Myntra
PRD-5069,SKU-PET-0069,Pet Premium Craft SKU #69,Pet Care & Organic Treats,284,597,60,VND-1169,FALSE,POS Counter
PRD-5070,SKU-KID-0070,Kids Premium Craft SKU #70,Kids Wear & Wooden Toys,740,2278,70,VND-1151,TRUE,Amazon IN
PRD-5071,SKU-FIT-0071,Fitness Premium Craft SKU #71,Fitness Gear & Yoga Accessories,2459,5431,69,VND-1042,TRUE,Myntra
PRD-5072,SKU-AUT-0072,Automotive Premium Craft SKU #72,Automotive Accessories,1722,5311,37,VND-1085,TRUE,Instagram DM
PRD-5073,SKU-TEX-0073,Textiles Premium Craft SKU #73,Textiles & Handblock Prints,471,1248,64,VND-1186,TRUE,Flipkart
PRD-5074,SKU-PUR-0074,Pure Premium Craft SKU #74,Pure Silk & Traditional Sarees,461,1096,98,VND-1060,TRUE,Flipkart
PRD-5075,SKU-KNI-0075,Knitwear Premium Craft SKU #75,Knitwear & Everyday Apparel,1486,2749,54,VND-1249,TRUE,Flipkart
PRD-5076,SKU-BRA-0076,Brass Premium Craft SKU #76,Brass & Artisan Metalcraft,1084,2606,68,VND-1126,TRUE,Instagram DM
PRD-5077,SKU-AYU-0077,Ayurvedic Premium Craft SKU #77,Ayurvedic Beauty & Wellness,1706,3319,99,VND-1150,TRUE,POS Counter
PRD-5078,SKU-LEA-0078,Leather Premium Craft SKU #78,Leather Footwear & Travel Goods,451,874,39,VND-1183,TRUE,Instagram DM
PRD-5079,SKU-ECO-0079,Eco-Friendly Premium Craft SKU #79,Eco-Friendly Packaging,1745,4080,33,VND-1040,TRUE,Amazon IN
PRD-5080,SKU-CON-0080,Consumer Premium Craft SKU #80,Consumer Electronics Accessories,1624,5025,33,VND-1114,TRUE,POS Counter
PRD-5081,SKU-ORG-0081,Organic Premium Craft SKU #81,Organic Home & Kitchenware,1988,5460,85,VND-1111,TRUE,Shopify Storefront
PRD-5082,SKU-HAN-0082,Handloom Premium Craft SKU #82,Handloom Bed Linen & Curtains,1599,4384,96,VND-1023,TRUE,Amazon IN
PRD-5083,SKU-SPI-0083,Spices Premium Craft SKU #83,Spices & Gourmet Food Crafts,1727,3144,72,VND-1222,TRUE,Shopify Storefront
PRD-5084,SKU-JEW-0084,Jewelry Premium Craft SKU #84,Jewelry & Fashion Accessories,2441,8150,51,VND-1186,TRUE,POS Counter
PRD-5085,SKU-FOO-0085,Footwear Premium Craft SKU #85,Footwear & Athletic Shoes,1709,3568,54,VND-1176,TRUE,Flipkart
PRD-5086,SKU-STA-0086,Stationery Premium Craft SKU #86,Stationery & Corporate Gifting,409,852,55,VND-1038,TRUE,Flipkart
PRD-5087,SKU-PET-0087,Pet Premium Craft SKU #87,Pet Care & Organic Treats,465,1122,51,VND-1201,TRUE,Flipkart
PRD-5088,SKU-KID-0088,Kids Premium Craft SKU #88,Kids Wear & Wooden Toys,950,2449,37,VND-1153,TRUE,Flipkart
PRD-5089,SKU-FIT-0089,Fitness Premium Craft SKU #89,Fitness Gear & Yoga Accessories,1706,5402,62,VND-1086,TRUE,Flipkart
PRD-5090,SKU-AUT-0090,Automotive Premium Craft SKU #90,Automotive Accessories,707,1633,97,VND-1209,TRUE,POS Counter
PRD-5091,SKU-TEX-0091,Textiles Premium Craft SKU #91,Textiles & Handblock Prints,1436,3018,70,VND-1123,TRUE,Amazon IN
PRD-5092,SKU-PUR-0092,Pure Premium Craft SKU #92,Pure Silk & Traditional Sarees,2161,7445,51,VND-1189,TRUE,Amazon IN
PRD-5093,SKU-KNI-0093,Knitwear Premium Craft SKU #93,Knitwear & Everyday Apparel,1759,4257,92,VND-1210,TRUE,Myntra
PRD-5094,SKU-BRA-0094,Brass Premium Craft SKU #94,Brass & Artisan Metalcraft,2403,4435,79,VND-1047,TRUE,POS Counter
PRD-5095,SKU-AYU-0095,Ayurvedic Premium Craft SKU #95,Ayurvedic Beauty & Wellness,1343,4315,28,VND-1113,TRUE,Flipkart
PRD-5096,SKU-LEA-0096,Leather Premium Craft SKU #96,Leather Footwear & Travel Goods,2195,4470,58,VND-1173,TRUE,Instagram DM
PRD-5097,SKU-ECO-0097,Eco-Friendly Premium Craft SKU #97,Eco-Friendly Packaging,1883,5915,29,VND-1040,TRUE,Myntra
